,mpid,fname,sname,party,url
51,43137,Apsana,Begum,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43137
52,43433,Apsana,Begum,Independent,https://www.publicwhip.org.uk/mp.php?mpid=43433
53,42830,Torsten,Bell,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42830
54,43133,Hilary,Benn,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43133
55,43164,Alison,Bennett,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43164
56,43310,Si&acirc;n,Berry,Green,https://www.publicwhip.org.uk/mp.php?mpid=43310
57,43169,Clive,Betts,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43169
58,42927,Saqib,Bhatti,Con,https://www.publicwhip.org.uk/mp.php?mpid=42927
59,42899,Polly,Billington,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42899
60,43316,Matt,Bishop,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43316
61,43283,Bob,Blackman,Con,https://www.publicwhip.org.uk/mp.php?mpid=43283
62,42887,Kirsty,Blackman,SNP,https://www.publicwhip.org.uk/mp.php?mpid=42887
63,43148,Olivia,Blake,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43148
64,43264,Rachel,Blake,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43264
65,42891,Christopher,Bloore,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42891
66,43132,Elsie,Blundell,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43132
67,42829,Kevin,Bonavia,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42829
68,43291,Sarah,Bool,Con,https://www.publicwhip.org.uk/mp.php?mpid=43291
69,43102,Jade,Botterill,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43102
70,43359,Andrew,Bowie,Con,https://www.publicwhip.org.uk/mp.php?mpid=43359
71,43040,Sureena,Brackenridge,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43040
72,42956,Karen,Bradley,Con,https://www.publicwhip.org.uk/mp.php?mpid=42956
73,43279,Aphra,Brandreth,Con,https://www.publicwhip.org.uk/mp.php?mpid=43279
74,42845,Jonathan,Brash,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42845
75,42943,Suella,Braverman,Con,https://www.publicwhip.org.uk/mp.php?mpid=42943
76,42908,Alex,Brewer,LDem,https://www.publicwhip.org.uk/mp.php?mpid=42908
77,42914,Phil,Brickell,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42914
78,42920,Jessica,Brown-Fuller,LDem,https://www.publicwhip.org.uk/mp.php?mpid=42920
79,42866,Chris,Bryant,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42866
80,43051,Julia,Buckley,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43051
81,42881,Alex,Burghart,Con,https://www.publicwhip.org.uk/mp.php?mpid=42881
82,43252,Richard,Burgon,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43252
83,43434,Richard,Burgon,Independent,https://www.publicwhip.org.uk/mp.php?mpid=43434
84,43081,Maureen,Burke,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43081
85,43059,David,Burton-Sampson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43059
86,42916,Dawn,Butler,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42916
87,42879,Ian,Byrne,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42879
88,43435,Ian,Byrne,Independent,https://www.publicwhip.org.uk/mp.php?mpid=43435
89,43189,Liam,Byrne,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43189
90,42935,Ruth,Cadbury,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42935
91,43117,Nesil,Caliskan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43117
92,42806,Alan,Campbell,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42806
93,43425,Gregory,Campbell,DUP,https://www.publicwhip.org.uk/mp.php?mpid=43425
94,43014,Irene,Campbell,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43014
95,42839,Juliet,Campbell,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42839
96,43145,Markus,Campbell-Savours,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43145
97,43025,Charlotte,Cane,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43025
98,42824,Dan,Carden,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42824
99,43289,Sam,Carling,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43289
100,43365,Alistair,Carmichael,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43365
101,43370,Alistair,Carns,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43370
102,43292,James,Cartlidge,Con,https://www.publicwhip.org.uk/mp.php?mpid=43292
103,43218,David,Chadwick,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43218
104,43215,Wendy,Chamberlain,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43215
105,43385,Danny,Chambers,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43385
106,42969,Sarah,Champion,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42969
107,43019,Bambos,Charalambous,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43019
108,43128,Luke,Charters,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43128
109,43320,Christopher,Chope,Con,https://www.publicwhip.org.uk/mp.php?mpid=43320
110,43324,Ellie,Chowns,Green,https://www.publicwhip.org.uk/mp.php?mpid=43324
111,43026,Feryal,Clark,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43026
112,43339,James,Cleverly,Con,https://www.publicwhip.org.uk/mp.php?mpid=43339
113,43319,Geoffrey,Clifton-Brown,Con,https://www.publicwhip.org.uk/mp.php?mpid=43319
114,42799,Lewis,Cocking,Con,https://www.publicwhip.org.uk/mp.php?mpid=42799
115,43062,Chris,Coghlan,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43062
116,43377,Ben,Coleman,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43377
117,42940,Jacob,Collier,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42940
118,43356,Lizzi,Collinge,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43356
